CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
483,25.60,41.20,24.77,19.20,1.800,6.000,No Turning-on Behavior,A
480,25.50,41.70,24.47,22.60,2.270,3.000,No Turning-on Behavior,A
478,25.50,42.20,24.20,21.90,2.040,1.000,No Turning-on Behavior,A
547,25.50,66.50,21.64,95.80,2.270,45.000,No Turning-on Behavior,A
580,25.60,65.50,21.56,95.80,2.040,26.000,No Turning-on Behavior,A
571,25.70,65.30,21.64,95.80,2.040,38.000,No Turning-on Behavior,A
570,25.70,65.00,21.56,95.60,2.040,44.000,No Turning-on Behavior,A
564,25.70,65.20,21.65,95.20,2.040,40.000,No Turning-on Behavior,A
560,25.80,65.90,21.65,95.00,1.570,31.000,No Turning-on Behavior,A
609,25.90,65.60,21.73,95.00,2.040,31.000,No Turning-on Behavior,A
594,26.00,65.60,21.70,95.10,2.510,35.000,No Turning-on Behavior,A
604,26.00,65.50,21.91,94.90,1.570,51.000,No Turning-on Behavior,A
608,26.10,65.30,21.89,94.40,2.270,61.000,No Turning-on Behavior,A
584,26.10,65.30,22.08,93.80,1.800,65.000,No Turning-on Behavior,A
578,26.20,65.50,22.32,93.40,2.270,58.000,No Turning-on Behavior,A
603,26.30,65.60,22.32,92.80,2.040,57.000,No Turning-on Behavior,A
609,26.30,65.30,22.43,92.50,2.040,68.000,No Turning-on Behavior,A
495,26.10,65.30,22.90,85.20,2.040,6.000,No Turning-on Behavior,A
509,26.10,65.00,22.06,91.30,2.510,13.000,No Turning-on Behavior,A
492,26.10,65.40,21.93,94.00,1.570,12.000,No Turning-on Behavior,A
617,24.90,62.10,27.29,68.20,2.510,43.000,No Turning-on Behavior,A
659,23.90,64.50,27.04,67.30,1.800,35.000,No Turning-on Behavior,A
649,23.40,65.50,26.95,64.50,2.040,36.000,No Turning-on Behavior,A
642,23.30,64.70,26.97,63.30,1.800,34.000,No Turning-on Behavior,A
632,22.80,65.90,26.89,63.20,2.270,29.000,No Turning-on Behavior,A
614,22.70,65.40,26.91,63.70,1.570,24.000,No Turning-on Behavior,A
591,22.40,65.80,27.01,64.50,1.800,20.000,No Turning-on Behavior,A
580,22.20,65.60,26.87,66.00,1.800,18.000,No Turning-on Behavior,A
567,22.20,65.90,26.81,67.30,2.040,20.000,No Turning-on Behavior,A
550,24.50,63.90,27.39,65.40,2.510,106.000,No Turning-on Behavior,A
559,23.60,64.30,27.66,64.60,3.440,139.000,No Turning-on Behavior,A
594,23.30,64.60,27.64,63.90,2.510,141.000,No Turning-on Behavior,A
587,22.90,66.40,27.71,60.30,3.210,135.000,No Turning-on Behavior,A
577,22.90,67.40,27.98,62.30,2.970,80.000,No Turning-on Behavior,A
569,22.70,67.80,28.02,63.80,2.970,94.000,No Turning-on Behavior,A
584,22.90,67.40,27.78,64.30,2.740,69.000,No Turning-on Behavior,A
533,25.80,61.60,22.43,67.00,3.680,136.000,No Turning-on Behavior,A
469,25.60,61.50,22.03,74.10,2.270,41.000,No Turning-on Behavior,A
465,25.80,61.30,21.98,74.70,1.800,38.000,No Turning-on Behavior,A
453,26.50,63.30,21.66,77.90,2.510,26.000,No Turning-on Behavior,A
475,26.60,63.00,21.61,80.80,1.340,19.000,No Turning-on Behavior,A
440,26.50,62.80,21.58,82.60,1.340,18.000,No Turning-on Behavior,A
446,26.50,63.20,21.47,82.90,1.100,17.000,No Turning-on Behavior,A
452,26.50,63.50,21.57,81.50,2.040,16.000,No Turning-on Behavior,A
459,26.60,63.30,20.86,90.70,1.570,10.000,No Turning-on Behavior,A
476,26.60,63.60,20.50,93.30,1.570,4.000,No Turning-on Behavior,A
483,26.60,63.90,20.30,93.60,1.800,3.000,No Turning-on Behavior,A
484,26.60,64.10,20.18,94.10,1.340,3.000,No Turning-on Behavior,A
479,26.60,64.00,20.08,94.70,1.570,1.000,No Turning-on Behavior,A
472,26.60,64.00,19.92,95.00,1.340,1.000,No Turning-on Behavior,A
468,26.60,64.00,19.87,95.40,1.340,0.000,No Turning-on Behavior,A
462,26.60,63.80,19.78,95.20,1.800,0.000,No Turning-on Behavior,A
456,26.60,63.70,19.65,93.40,2.040,1.000,No Turning-on Behavior,A
465,26.60,63.50,19.68,92.00,1.570,1.000,No Turning-on Behavior,A
500,24.90,68.40,35.56,49.20,608.340,254.000,No Turning-on Behavior,A
498,24.50,69.30,35.76,48.70,518.080,247.000,No Turning-on Behavior,A
503,24.40,69.40,35.77,49.60,484.650,242.000,No Turning-on Behavior,A
