Temperature_Indoor [C],Relative_Humidity_Indoor [%],Indoor_Illumination [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Shading_Status_last,Class,Room_ID
26.90,60.40,350,22.32,74.20,2.740,87.000,0.5,Rolling Up,C
27.00,60.30,318,22.34,73.40,2.270,75.000,0.5,Rolling Up,C
27.10,60.40,336,22.61,73.30,2.270,81.000,0.5,Rolling Up,C
27.00,60.50,352,22.47,71.40,2.510,87.000,0.5,Rolling Up,C
26.50,59.70,261,22.70,71.10,2.270,57.000,0.5,Rolling Up,C
26.60,59.60,291,22.39,72.90,2.510,67.000,0.5,Rolling Up,C
26.80,59.10,258,22.27,73.90,2.270,59.000,0.5,Rolling Up,C
27.20,46.00,380,25.82,32.60,8.820,105.000,1,Rolling Up,C
27.20,46.10,376,26.18,31.80,6.720,100.000,0.5,Rolling Up,C
27.10,43.30,360,26.18,31.70,6.950,99.000,0.5,Rolling Up,C
26.90,41.80,357,26.10,31.90,6.480,94.000,0.5,Rolling Up,C
26.80,40.00,355,26.22,29.80,5.080,91.000,0.5,Rolling Up,C
26.80,40.90,338,25.87,31.50,5.550,90.000,0.5,Rolling Up,C
26.80,63.00,562,26.57,59.50,288.240,245.000,1,Rolling Up,C
27.00,62.50,455,26.84,58.80,6.720,176.000,0,Rolling Up,C
26.80,61.10,381,26.99,57.60,4.610,142.000,0,Rolling Up,C
27.00,61.00,291,26.33,60.70,3.680,96.000,0,Rolling Up,C
27.00,61.00,305,26.24,61.20,2.970,97.000,0,Rolling Up,C
27.00,60.90,358,26.64,60.50,2.510,115.000,0,Rolling Up,C
27.00,60.90,416,26.67,61.30,5.550,155.000,0,Rolling Up,C
27.10,61.00,429,26.48,60.40,3.680,158.000,0,Rolling Up,C
27.10,60.70,487,26.87,59.30,4.840,191.000,0,Rolling Up,C
27.10,59.80,520,27.39,55.00,4.610,193.000,0,Rolling Up,C
